id,survey_date,stream,distance,type,species,gravel,life_stage,sex,adipose_fin,spawning_success,predation,notes,survey_year,carcass_age_hours,standard_length,width,redd_substrate,source,source_file,ec5_uuid,created_at,lat,lon,gps_accuracy,utm_northing,utm_easting,utm_zone,photo,location,activity
111117047.0,2017-11-11,Piper's Creek,875,dead,chum,-,adult,female,yes,spawned,scavenged,Eyes only (3 visitors),2017,48.0,23.0,5.0,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117048.0,2017-11-11,Piper's Creek,875,dead,chum,-,adult,female,yes,spawned,scavenged,Eyes only,2017,48.0,23.0,4.0,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117049.0,2017-11-11,Piper's Creek,925,live,chum,-,adult,female,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117050.0,2017-11-11,Piper's Creek,925,live,chum,-,adult,female,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117051.0,2017-11-11,Piper's Creek,925,live,,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117052.0,2017-11-11,Piper's Creek,975,live,chum,-,adult,male,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117053.0,2017-11-11,Piper's Creek,975,live,chum,-,adult,male,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117054.0,2017-11-11,Piper's Creek,975,live,chum,-,adult,female,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117055.0,2017-11-11,Piper's Creek,975,dead,chum,-,adult,male,yes,spawned,scavenged,,2017,72.0,28.0,5.0,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117056.0,2017-11-11,Piper's Creek,1025,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117057.0,2017-11-11,Piper's Creek,1072,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117058.0,2017-11-11,Piper's Creek,1025,live,chum,-,adult,male,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117059.0,2017-11-11,Piper's Creek,1125,live,chum,-,adult,male,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117060.0,2017-11-11,Piper's Creek,1150,dead,chum,-,adult,female,yes,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117061.0,2017-11-11,Piper's Creek,1150,dead,coho,-,2 ?,male,yes,,-,2 ft off channel on bank,2017,12.0,15.0,3.5,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117062.0,2017-11-11,Piper's Creek,1175,live,chum,-,adult,male,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117063.0,2017-11-11,Piper's Creek,1175,live,chum,-,adult,male,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117064.0,2017-11-11,Piper's Creek,1175,live,chum,-,adult,male,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117065.0,2017-11-11,Piper's Creek,1175,live,chum,-,adult,male,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117066.0,2017-11-11,Piper's Creek,1175,live,chum,-,adult,female,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117067.0,2017-11-11,Piper's Creek,1175,dead,coho,-,adult,male,-,spawned,scavenged,,2017,72.0,24.0,4.0,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117068.0,2017-11-11,Piper's Creek,1175,dead,chum,-,adult,female,-,unspawned,-,,2017,48.0,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117069.0,2017-11-11,Piper's Creek,1225,live,chum,-,adult,male,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117070.0,2017-11-11,Piper's Creek,1230,live,chum,-,adult,female,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117071.0,2017-11-11,Piper's Creek,1230,live,chum,-,adult,female,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117072.0,2017-11-11,Piper's Creek,1230,live,chum,-,adult,female,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117073.0,2017-11-11,Piper's Creek,1290,dead,coho,-,adult,male,no,unspawned,scavenged,,2017,24.0,14.0,3.0,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117074.0,2017-11-11,Piper's Creek,1325,live,coho,-,adult,male,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117075.0,2017-11-11,Piper's Creek,1325,live,coho,-,adult,male,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117076.0,2017-11-11,Piper's Creek,1450,live,,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117077.0,2017-11-11,Piper's Creek,1450,live,,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117078.0,2017-11-11,Piper's Creek,1450,live,,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117079.0,2017-11-11,Piper's Creek,1450,dead,chum,-,adult,female,yes,partially spawned,scavenged,Eyes only,2017,24.0,24.0,4.0,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117080.0,2017-11-11,Piper's Creek,1460,dead,chum,-,adult,male,yes,partially spawned,partial,Group @ 1460ft showed signs,2017,42.0,28.0,6.0,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117081.0,2017-11-11,Piper's Creek,1460,dead,chum,-,adult,male,yes,unspawned,partial,Of teeth punctures on flanks,2017,16.0,30.0,5.0,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117082.0,2017-11-11,Piper's Creek,1460,dead,chum,-,adult,female,yes,unspawned,partial,Eyes only (10-30’ on the bank),2017,16.0,26.0,5.0,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117083.0,2017-11-11,Piper's Creek,1460,dead,chum,-,adult,male,yes,partially spawned,partial,Eyes only (10-30’ on the bank),2017,24.0,29.0,5.5,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117084.0,2017-11-11,Piper's Creek,1460,dead,chum,-,adult,female,yes,unspawned,partial,(10-30’ on the bank),2017,12.0,28.0,6.0,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117085.0,2017-11-11,Piper's Creek,1460,dead,chum,-,adult,male,yes,spawned,partial,(10-30’ on the bank),2017,1.0,26.0,6.0,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117086.0,2017-11-11,Piper's Creek,1460,dead,chum,-,adult,male,yes,spawned,partial,slight (10-30’ on the bank),2017,48.0,27.0,5.5,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117087.0,2017-11-11,Piper's Creek,1460,dead,chum,-,adult,female,yes,unspawned,partial,(10-30’ on the bank),2017,48.0,24.5,5.0,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117088.0,2017-11-11,Piper's Creek,1460,dead,coho,-,adult,male,no,spawned,partial,heavy (10-30’ on the bank),2017,48.0,29.0,7.0,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117089.0,2017-11-11,Piper's Creek,1475,dead,chum,-,adult,male,yes,spawned,-,10ft off channel,2017,2.0,30.0,6.5,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117090.0,2017-11-11,Piper's Creek,1490,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117091.0,2017-11-11,Piper's Creek,1500,live,chum,-,adult,male,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117092.0,2017-11-11,Piper's Creek,1500,live,chum,-,adult,male,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117093.0,2017-11-11,Piper's Creek,1525,remnant,,-,adult,,yes,,scavenged,Headless – 40ft off channel,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117094.0,2017-11-11,Piper's Creek,1525,remnant,chum,-,adult,female,yes,unspawned,scavenged,40ft off channel,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117095.0,2017-11-11,Piper's Creek,1550,dead,chum,-,adult,male,yes,partially spawned,scavenged,5ft off channel,2017,24.0,28.0,5.5,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117096.0,2017-11-11,Piper's Creek,1575,dead,chum,-,adult,female,yes,unspawned,scavenged,40ft off channel,2017,12.0,26.0,6.0,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117097.0,2017-11-11,Piper's Creek,1575,dead,chum,-,adult,female,yes,unspawned,scavenged,40ft off channel,2017,12.0,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117098.0,2017-11-11,Piper's Creek,1575,dead,chum,-,adult,male,yes,unspawned,scavenged,40ft off channel,2017,12.0,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117099.0,2017-11-11,Piper's Creek,1650,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117100.0,2017-11-11,Piper's Creek,1650,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117101.0,2017-11-11,Piper's Creek,1700,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117102.0,2017-11-11,Piper's Creek,1700,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117103.0,2017-11-11,Piper's Creek,1700,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117104.0,2017-11-11,Piper's Creek,1700,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117105.0,2017-11-11,Piper's Creek,1700,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117106.0,2017-11-11,Piper's Creek,1700,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117107.0,2017-11-11,Piper's Creek,1725,dead,chum,-,adult,female,yes,unspawned,scavenged,,2017,36.0,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117108.0,2017-11-11,Piper's Creek,1750,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117109.0,2017-11-11,Piper's Creek,1750,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117110.0,2017-11-11,Piper's Creek,1750,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117111.0,2017-11-11,Piper's Creek,1750,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117112.0,2017-11-11,Piper's Creek,1800,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117113.0,2017-11-11,Piper's Creek,1800,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117114.0,2017-11-11,Piper's Creek,1800,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117115.0,2017-11-11,Piper's Creek,1800,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117116.0,2017-11-11,Piper's Creek,1800,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117117.0,2017-11-11,Piper's Creek,1800,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117118.0,2017-11-11,Piper's Creek,1900,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117119.0,2017-11-11,Piper's Creek,1900,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117120.0,2017-11-11,Piper's Creek,1900,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117121.0,2017-11-11,Piper's Creek,1900,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117122.0,2017-11-11,Piper's Creek,1920,dead,chum,-,adult,male,yes,spawned,scavenged,,2017,24.0,30.0,6.5,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117123.0,2017-11-11,Piper's Creek,1920,remnant,chum,-,adult,male,yes,unspawned,scavenged,,2017,48.0,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
